PluginName,SkillName,SkillDescription
CIRCL,"Look up MD5 hash CIRCL","Lookup information on CIRCL about a specific MD5 hash
"
CIRCL,"Look up SHA1 hash CIRCL","Lookup information on CIRCL about a specific SHA-1 hash
"
CIRCL,"Look up SHA256 hash CIRCL",
GreyNoiseCommunity,"Look up IP address noise","This endpoint allows you to check an IP address against the GreyNoise database.
"
CywareRespond,"Get a List of Actions from Cyware Respond","Retrieve the details of all the action from the Cyware Respond application.

"
CywareRespond,"Get Details of a Cyware Respond Action","Retrieve the details of an action.
"
CywareRespond,"List Applications On Cyware Respond","Retrieve the details of a list of applications in Cyware Respond.
"
CywareRespond,"Get Application Details On Cyware Respond","Retrieve the details of a specific application in Cyware Respond.
"
CywareRespond,"List Software On Cyware Respond","Retrieve the details of a list of software assets in the Cyware Respond application.
"
CywareRespond,"Get Software Details On Cyware Respond","Retrieve the details of a software in the Cyware Respond application.
"
CywareRespond,"Get a List of Campaigns On Cyware Respond","Retrieve a list of all the campaigns with details from the Cyware Respond application.
"
CywareRespond,"Get Details of a Campaign On Cyware Respond","Retrieve the details of a campaign.
"
CywareRespond,"Get Comments from a Cyware Respond Action","Retrieve a list of comments from an action.
"
CywareRespond,"Get List of Devices from Cyware Respond","Retrieve the details of all the devices in Cyware Respond Application.
"
CywareRespond,"Get Details of a Device on Cyware Respond","Retrieve the details of a device in the Cyware Respond application.
"
CywareRespond,"Get List of Incidents from Cyware Respond","Retrieve a list of all the incidents with details from the Cyware Respond application.
"
CywareRespond,"Get Details of a Cyware Respond Incident","Retrieve the details of an incident.
"
CywareRespond,"List Threat Intelligence From Cyware Respond","Retrieve a list of all the threat intels with details from the Cyware Respond application.
"
CywareRespond,"Get Threat Intel Details From Cyware Respond","Retrieve the details of a Threat Intel from the Cyware Respond application.
"
CywareRespond,"Retrieve a list of Malwares from Cyware Respond","Retrieve a list of malware from your Cyware Respond application.
"
CywareRespond,"Get Details of a Malware On Cyware Respond","Retrieve the details of a specific malware from the Cyware Respond application.
"
CywareRespond,"Get List of Vulnerabilities from Cyware Respond","Retrieve the details of all the vulnerabilities in Cyware Respond Application.
"
CywareRespond,"Get Details of a Vulnerability from Cyware Respond","Retrieve the details of a vulnerability.
"
RedCanary,retrieveRedCanaryEndpointbyHostname,"Fetch activities by endpoint hostname in the Red Canary platform
"
RedCanary,retrieveRedCanaryIPUsage,"Fetch activities by IP address in the Red Canary platform
"
RedCanary,retrieveRedCanaryEventsbyThreatID,"Fetch the event details from a specific threat detection in Red Canary
"
RedCanary,retrieveRedCanaryThreatIOCsbyThreatID,"Fetch a list of marked indicators of compromise from a specific threat detection in Red Canary
"
RedCanary,retrieveRedCanaryRelatedDetectionsbyThreatID,"Fetch related detection details from a specific threat detection in Red Canary
"
RedCanary,retrieveRedCanaryDetectorsbyThreatID,"Fetch detector details from a specific threat detection in Red Canary
"
RedCanary,retrieveRedCanaryTimelinebyThreatID,"Fetch timeline details from a specific threat detection in Red Canary
"
